ID,sold,list,taxes,location
1,1.265,0.9999,4732,T
2,2.2,1.9999,7712,T
3,1.225,1.169,4448,T
4,1.9,1.995,6783,T
5,1.622,1.45,7436,T
6,1.18,0.979,3650,T
7,1.281,1.199,4230,T
8,3.17,3.15,10549,T
9,1.51,1.599,5907,T
10,1.24,1.24998,4.462,T
11,1.31,1.1499,4360,T
12,1.315,1.1,5439,T
13,1.35,1.099,4750,T
14,1.125,1.1788,3814,T
15,3.25,3.4,9020,T
16,2.8,3.079,10003,T
17,1.78,1.86,3808,T
18,2.465,2.6999,27688,T
19,3.895,3.895,14315,T
20,2.235,2.299,6091,T
21,2.825,2.895,7856,T
22,1.701,1.5,6627,T
23,2.25,1.999,6981,T
24,1.149,1.149,5139,T
25,1.875,1.298,6885,T
26,4.15,4.295,16473,T
27,1.05,0.999,4396,T
28,1.36,1.099,4966,T
29,3.65,3.85,15077,T
30,1.39,1.389,4527,T
31,3.7,3.995,8995,T
32,2.3,1.925,7958,T
33,2.005,2.195,9861,T
34,3.375,3.475,11497,T
35,3.855,3.75,18003,T
36,1.415,1.48,4820,T
37,4.45,4.495,15640,T
38,4.5,4.5,21486,T
39,3.825,3.995,18332,T
40,1.226,0.899,4054,T
41,1.44,1.5,4623,T
42,1.661,1.329,6171,T
43,2.023,2.289,8848,T
44,0.79,0.7999,4800,T
45,1.635,1.659,4.635,T
46,2,1.599,7443,T
47,2.155,2.295,6.454,T
48,1.6,1.395,6735,T
49,1.325,1.325,4508,T
50,3.3,3.595,14415,T
51,1.66,1.69,5633,T
52,1.165,1.149,3927,T
53,1.85,1.999,6982,T
54,1.1751,1.399,6552,T
55,1.185,1.198,4011,T
56,1.085,0.958,3460,T
57,0.902,0.8999,3547,T
58,1.75,1.75,6929,T
59,1.29,3,5033,T
60,1.259227,0.999,3885,T
61,0.755,0.649,3160,T
62,1.86,1.898,6736,T
63,1.35,1.37,4695,T
64,1.825,1.795,5871,T
65,2.500236,1.7999,9515,T
66,1.155,1,3709,T
67,1.41,1.449,4768,T
68,1.128,1.149,4494,T
69,1.6,1.629,6950,T
70,3.805,3.995,19499,T
71,2.015,1.999,6455,T
72,2.35,2.299,7191,T
73,1.8,1.899,7285,T
74,1.15,1.139,3683,T
75,1.21,1.276,5351,T
76,0.875,0.895,3150,T
77,3.15,3.249,9020,T
78,1.59,1.599,6643,T
79,1.832,1.699,7419,T
80,2.302,2.299,9964,T
81,0.86,0.8689,3676,T
82,2.199,2.299,6043,T
83,0.89,0.9,4217,T
84,0.805,0.799,2654,T
85,1.388,1.459,4594,T
86,1.28,1.348,4274,T
87,1.389,1.389,4780,T
88,1.4,1.499,4973,T
89,1.2,1.149,4114,T
90,3.385,3.499,17719,T
91,1.5,1.65,6320,T
92,2.103,2.098,8671,T
93,1.42,1.495,5713,T
94,2.6,2.799,9696,T
95,0.672,6.799,2577,T
96,5.1,5.495,23592,T
97,1.55,1.588,6049,T
98,3.08,3.195,5925,T
99,2.175,2.499,4688,T
100,1.17,1.1,4.914,T
101,1.3,1.298,4592,T
102,2.24,2.399,8097,T
103,1.715,1.85,7741,T
104,2.26,1.999,7878,T
105,4.65,4.85,13279,T
106,0.95,0.799,3841,T
107,2.5,2.5,8622,T
108,1.305,1.349,5660,T
109,1.075,0.9799,4.375,T
110,0.855,0.699,3558,T
111,2.8,2.999,7698,T
112,1.085,84.99,4457,T
113,1.41,1.375,6885,T
114,1.57,1.599,,T
115,1.738,1.698,6109,T
116,1.354,1.099,5033,T
117,3.995,3.995,13980,T
118,1.898,1.898,7496,T
119,1.708,1.499,7089,T
120,3.25,3.4,9020,T
121,1.78,1.86,3808,T
122,3.01,2.895,8750,T
123,2.235,2.299,6091,T
124,3.65,3.85,15077,T
125,2.155,2.295,6454,T
126,1.259,0.999,3885,T
127,1.128,1.149,4494,T
128,2.015,1.999,6455,T
129,3.15,3.249,9020,T
130,1.832,1.699,7419,T
131,1.05,1.0889,5510,M
132,0.837,0.85,3917,M
133,1.14,1.199,5778,M
134,1.625,1.639,7687,M
135,1.45,1.484,6484,M
136,4.75,5.499,6017,M
137,1.375,1.25,6822,M
138,4.492,4.95,25575,M
139,1.16,1.19,5105,M
140,2.3,2.34985,15138,M
141,0.91,0.7998,4959,M
142,1.1875,1.2,5173,M
143,1.155,1.1648,5981,M
144,2.27,2.3,12200,M
145,3,3.2999,11711,M
146,1.875,1.9,7844,M
147,1.355,1.249,6.759,M
148,0.985,0.999,4950,M
149,1.835,1.8995,11585,M
150,1.13,0.999,6563,M
151,1.205,1.175,6508,M
152,0.955,0.8798,4834,M
153,1.67,1.759,8881,M
154,1.875,1.95,12387,M
155,0.94,0.8999,5219,M
156,4.56,4.5,23755,M
157,2,2.198,12046,M
158,1.41,1.469,6083,M
159,1.04,1.05,5199,M
160,1.275,1.298,9314,M
161,1.055,1.05,5404,M
162,1.039,1.049,4955,M
163,0.98,0.879,4936,M
164,0.92,0.92,4716,M
165,3.05,3.198,14252,M
166,1.35,1.369,6502,M
167,1.38,1.399,5800,M
168,2.375,2.475,13931,M
169,1.61,1.679,10252,M
170,0.825,0.835,3600,M
171,0.93,0.939,5546,M
172,0.862,0.875,6000,M
173,0.837,0.849,4413,M
174,0.816,0.819,4200,M
175,0.905,0.918,4506,M
176,1.1,1.15,6192,M
177,1.82,1.749,11640,M
178,1.29,1.338,6704,M
179,0.82,0.8288,4181,M
180,0.968,0.899,4819,M
181,1.07,0.958,5062,M
182,0.865,0.799,4716,M
183,2.105,1.999,13464,M
184,1.05,1.0889,5510,M
185,0.837,0.85,3917,M
186,1.14,1.199,5778,M
187,1.625,1.6395,7687,M
188,2.335,2.348,12650,M
189,1.45,1.4849,6468,M
190,1.001,0.899,6083,M
191,4.75,5.499,6017,M
192,1.16,1.19,5105,M
193,1.75,1.695,8040,M
194,1.155,1.648,5981,M
195,2.27,2.3,12200,M
196,1.355,1.249,6759,M
197,0.985,0.999,4950,M
198,1.67,1.759,8881,M
199,1.875,1.95,12387,M
200,1.41,1.469,6083,M
201,1.125,1.149,6087,M
202,1.04,1.05,5199,M
203,1.055,1.05,5404,M
204,0.93,0.93,5546,M
205,0.816,0.8199,4200,M
206,1.82,1.749,11640,M
207,0.82,0.828,4181,M
208,0.865,0.799,4716,M
209,2.105,1.999,13464,M
210,1.05,1.0889,5510,M
211,0.837,0.85,3917,M
212,1.625,1.6395,7678,M
213,2.335,2.348,12650,M
214,1.001,0.899,6083,M
215,1.16,1.19,5105,M
216,1.75,1.695,8040,M
217,2.27,2.3,12200,M
218,1.335,1.249,6759,M
219,0.985,0.999,4950,M
220,1.875,1.95,12387,M
221,1.41,1.469,6083,M
222,1.125,1.149,6087,M
223,1.04,1.05,5199,M
224,0.93,0.93,5546,M
225,0.816,0.819,4200,M
226,1.82,1.749,11640,M
227,2.1055,1.999,13464,M
228,1.14,1.199,5778,M
229,1.625,1.639,7.687,M
230,0.91,0.7998,4959,M
